heure;variable;valeur
15/06/2023 17:54:00;P4MEDFFI4000;0
15/06/2023 17:54:00;P4MEDFI4000;0
15/06/2023 17:54:00;P4MENLI4000;0
15/06/2023 17:54:00;P4MON670101_INT;0
15/06/2023 17:54:00;P4MON670101_VIT;0
15/06/2023 17:54:00;P4MON670201_INT;0
15/06/2023 17:54:00;P4MON670201_VIT;0
15/06/2023 17:54:00;P4MON670301_INT;0
15/06/2023 17:54:00;P4MON670301_VIT;0
15/06/2023 17:54:00;P4MON670401_INT;0
15/06/2023 17:54:00;P4MON670401_VIT;0
15/06/2023 17:54:00;P4MOX671001_INT;0
15/06/2023 17:54:00;P4MOX671001_VIT;0
15/06/2023 17:54:00;P4MOX671101_INT;0
15/06/2023 17:54:00;P4MOX671101_VIT;0
15/06/2023 17:54:00;P4MOX671201_INT;0
15/06/2023 17:54:00;P4MOX671201_VIT;0
15/06/2023 17:54:00;P4MOX671301_INT;0
15/06/2023 17:54:00;P4MOX671301_VIT;0
15/06/2023 17:54:00;P4MOX671401_INT;0
15/06/2023 17:54:00;P4MOX671401_VIT;0
15/06/2023 17:54:00;PLMEI477001;0
15/06/2023 17:54:00;PLMEI477501_MES;0
15/06/2023 17:54:00;PLMEI477701;0
15/06/2023 17:54:00;PLMES477201;0
15/06/2023 17:54:00;PLMES477301;0
15/06/2023 17:54:00;PLMET477201;0
15/06/2023 17:54:00;PLMET477202;0
15/06/2023 17:54:00;PLMET477203;0
15/06/2023 17:54:00;PLMET477204;0
15/06/2023 17:54:00;PLMET477501_MES;0
15/06/2023 17:54:00;PLMET477502_MES;0
15/06/2023 17:54:00;PLMET477503_MES;0
15/06/2023 17:54:00;PLMEX477201;0
15/06/2023 17:54:00;PLREGI4772_MES;0
15/06/2023 17:54:00;PLREGI4773_MES;0
15/06/2023 17:54:00;PLREGT4772_MES;0
15/06/2023 17:54:00;PLREGT4773_MES;0
15/06/2023 17:54:00;PR_PRODUIT_G1;0
15/06/2023 17:54:00;PRBOA401100_ANIM;0
15/06/2023 17:54:00;PRBOA403100_ANIM;0
15/06/2023 17:54:00;PRBRO405500_ETA;0
15/06/2023 17:54:00;PRBRO405600_ETA;0
15/06/2023 17:54:00;PRBRO405700_ETA;0
15/06/2023 17:54:00;PRBRO405800_ETA;0
15/06/2023 17:54:00;PRCOR701001_ETA;0
15/06/2023 17:54:00;PRCOR701005_TEMP;0
15/06/2023 17:54:00;PRCOR701006_TEMP;0
15/06/2023 17:54:00;PRCOR701007_TEMP;0
15/06/2023 17:54:00;PRCOR702001_ETA;0
15/06/2023 17:54:00;PRCOR702005_TEMP;0
15/06/2023 17:54:00;PRCOR702006_TEMP;0
15/06/2023 17:54:00;PRCOR702007_TEMP;0
15/06/2023 17:54:00;PRCOR703001_ETA;0
15/06/2023 17:54:00;PRCOR703005_TEMP;0
15/06/2023 17:54:00;PRCOR703006_TEMP;0
15/06/2023 17:54:00;PRCOR703007_TEMP;0
15/06/2023 17:54:00;PRCOR704001_ETA;0
15/06/2023 17:54:00;PRCOR704005_TEMP;64
15/06/2023 17:50:00;PRCOR704006_TEMP;59
15/06/2023 17:50:00;PRCOR704007_TEMP;36
15/06/2023 17:50:00;PRCORP701003_INT;0
15/06/2023 17:50:00;PRCORP702003_INT;0
15/06/2023 17:50:00;PRCORP703003_INT;0
15/06/2023 17:50:00;PRCORP704003_INT;1
15/06/2023 17:50:00;PREVA408501_ETA;0
